width_um,frequency_THz,frequency_Hz,lambda_um,beta_rad_per_um,n_eff_from_beta
0.4,190.85886215015014,190858862150150.16,1.570754716981132,5.86948747562587,1.4673329987683426
0.4,190.87136600642307,190871366006423.06,1.570651817884049,5.869907090366089,1.467341768793459
0.4,190.883869862696,190883869862696.0,1.570548932267785,5.870326719677913,1.46735054131194
0.4,190.89637371896896,190896373718968.97,1.5704460601296917,5.870746363572906,1.4673593163261875
0.4,190.9088775752419,190908877575241.88,1.570343201467121,5.871166022062628,1.4673680938386002
0.4,190.92138143151485,190921381431514.84,1.570240356277425,5.8715856951586405,1.4673768738515758
0.4,190.93388528778777,190933885287787.78,1.570137524557957,5.872005382872504,1.4673856563675132
0.4,190.9463891440607,190946389144060.7,1.5700347063060707,5.87242508521578,1.4673944413888087
0.4,190.95889300033366,190958893000333.66,1.56993190151912,5.8728448022000315,1.4674032289178591
0.4,190.9713968566066,190971396856606.6,1.569829110194461,5.873264533836816,1.4674120189570605
0.4,190.98390071287955,190983900712879.53,1.5697263323294488,5.873684280137699,1.467420811508808
0.4,190.99640456915247,190996404569152.47,1.5696235679214405,5.874104041114237,1.4674296065754968
0.4,191.0089084254254,191008908425425.4,1.569520816967793,5.8745238167777725,1.4674384041594646
0.4,191.02141228169836,191021412281698.38,1.5694180794658636,5.874943607132422,1.4674472042612454
0.4,191.0339161379713,191033916137971.28,1.5693153554130124,5.875363412173678,1.4674560068792208
0.4,191.04641999424422,191046419994244.22,1.5692126448065977,5.875783231896532,1.467464812011644
0.4,191.05892385051717,191058923850517.2,1.569109947643979,5.876203066295977,1.467473619656771
0.4,191.0714277067901,191071427706790.1,1.5690072639225183,5.876622915366999,1.4674824298128581
0.4,191.08393156306306,191083931563063.06,1.568904593639576,5.877042779104589,1.4674912424781599
0.4,191.096435419336,191096435419336.0,1.5688019367925148,5.877462657503735,1.4675000576509336
0.4,191.10893927560892,191108939275608.9,1.568699293378697,5.877882550559429,1.4675088753294354
0.4,191.12144313188188,191121443131881.88,1.5685966633954858,5.878302458266658,1.4675176955119231
0.4,191.1339469881548,191133946988154.8,1.568494046840246,5.878722380620413,1.4675265181966546
0.4,191.14645084442773,191146450844427.72,1.5683914437103426,5.879142317615686,1.4675353433818892
